"Task","Assigned To","Status","Due Date"
"Task 1 - Angela","","Pending","2025-11-04"
"Task 1 - Daniel","","Pending","2025-11-08"
"Task 1 - Evelyn","","Pending","2025-11-13"
"Task 1 - Isaac","","Pending","2025-11-07"
"Task 1 - Joseph","","Pending","2025-11-03"
"Task 1 - Patricia","","Pending","2025-11-12"
"Task 2 - Angela","","Pending","2025-11-03"
"Task 2 - Daniel","","Pending","2025-11-08"
"Task 2 - Evelyn","","Pending","2025-11-14"
"Task 2 - Isaac","","Pending","2025-10-31"
"Task 2 - Joseph","","Pending","2025-10-31"
"Task 2 - Patricia","","Pending","2025-11-03"
"Task 3 - Isaac","","Pending","2025-11-06"
"Task 3 - Joseph","","Pending","2025-11-08"
"Task 3 - Patricia","","Pending","2025-11-09"